"Name","Placement","Winner","SeasonNumber","week2_place","week3_place","week4_place","week5_place","week6_place","week7_place","week8_place","week9_place","week10_place","week11_place","week12_place","week13_place","week14_place","week2_win","week3_win","week4_win","week5_win","week6_win","week7_win","week8_win","week9_win","week10_win","week11_win","week12_win","week13_win","week14_win","SeasonModel"
"Aras Baskauskas",1,1,12,7.20277100086212,12.1618355064392,10.4783063259125,8.8099491891861,7.22455237007141,5.17734762430191,4.94678570890427,4.86436349153519,3.82741747283936,2.91750317430496,2.64078254365921,2.1595825419426,1.82314286518097,0.10847103613615,0.0222909126952291,0.0630920647382736,0.112479367285967,0.178690479457378,0.287668258786202,0.356131750226021,0.425647624224424,0.45580317825079,0.381171432256699,0.469828575491905,0.375258733868599,0.302404764920473,12
"Danielle DiLorenzo",2,0,12,7.15697027683258,5.45630101776123,6.53062725687027,8.49655556726456,7.65273171424866,7.66626348876953,5.12741745662689,5.05483491897583,5.25688888168335,4.62884762191772,4.20948888969421,3.59123015403748,3.43247459840775,0.0649666108191013,0.0566880688667297,0.0344444448947906,0.100934922724962,0.046936509013176,0.0871952394545078,0.0779063503146172,0.0995832807049155,0.0279412702918053,0.0364111116528511,0.0333777784407139,0.266248632432893,0.407757003426552,12
"Terry Deitz",3,0,12,6.67327342510223,7.07187704753876,6.56647617912293,6.51490793514252,5.61844125986099,5.56899682283401,6.12735396194458,5.582717461586,4.81119999265671,3.26322698068619,2.89296984910965,2.42321111536026,2.05158413267136,0.0572551906406879,0.112692065984011,0.105671430945396,0.143788891941309,0.262106321599335,0.23914914508909,0.167709526747465,0.23289206764102,0.15252698597312,0.214538097560406,0.272273017942905,0.161858731031418,0.176168255656958,12
"Cirie Fields",4,0,12,6.80357065391541,5.69249048805237,5.69899220848083,5.81281587076187,6.25894603538513,5.90945238924026,4.69432222032547,4.52415712881088,4.29929841566086,3.94788253593445,3.52155396270752,2.75723968315125,2.32277460193634,0.183058039084077,0.066486237347126,0.038448058847338,0.0542534288428724,0.0632546451501548,0.0475608014762402,0.0728449287712574,0.0621425132378936,0.20175714597106,0.260636510580778,0.253407938659191,0.116593652248383,0.050323810338974,12
"Shane Powers",5,0,12,10.2070167713165,10.2584675331116,9.65883333110809,9.05841110801697,8.80992380714416,7.79288253974915,7.69126824855804,6.00406507730484,5.42969205665588,5.00686188554764,4.20038729333878,4.16726031208038,5.62337457513809,0.000372294381260872,0.000881632663309574,0.00212742317095399,0.000869300927966833,0.00154032529145479,0.00262740179151297,0.00632349902763963,0.0109583852887154,0.00606666678190231,0.0353063498139381,0.028974603831768,0.0301281695738435,0.000444444447755814,12
"Courtney Marit",6,0,12,10.8174852161407,7.86032564258575,6.5738732919693,7.77200000143051,7.99007144069672,5.26977778959274,4.67106825017929,4.65872062492371,3.9478031744957,4.00751427602768,2.9780031709671,7.1338365020752,6.60200793457031,0.00151408202946186,0,0.00410952389240265,0.0222968258857727,0.038584127664566,0.122941271722317,0.111265080600977,0.1090777797997,0.130615874320269,0.135390477955341,0.147676192134619,0.0157948359046131,0,12
"Bruce Kanegai",7,0,12,10.4886128463745,8.5287681312561,8.47638151550293,7.18751271295548,8.50869205474853,6.04413333272934,6.57642222976685,4.7116936545372,4.63443649768829,4.87346030664444,7.61419047355652,7.23836666679382,7.4596698513031,0.00318015415966511,0.129646755456924,0.160968256831169,0.139371431648731,0.0705142542682588,0.0889020062014461,0.162052072737366,0.150394047491252,0.128049207448959,0.0612015880048275,0.0243444446921349,0.0000567404422909021,0,12
"Sally Schumann",8,0,12,9.38462630462647,9.20155778026581,7.23364965200424,5.93676665830612,4.24583332920074,5.79864761829376,3.9911253862381,3.45743809080124,3.00819841814041,8.21284601354599,8.35442697906494,8.31550794792175,8.35867779350281,0.126923341915011,0.276004478424788,0.265982544720173,0.339136515676975,0.416512673314661,0.283215812079608,0.248011114120483,0.21685714673996,0.259647622138262,0.0181253971159458,0,0.00472340718843043,0,12
"Austin Carty",9,0,12,9.10140099143982,7.62629236412048,7.25916724157333,5.99337459611893,5.64791587018967,6.55609207248688,5.076768242836,4.71144443941116,9.88671424484253,9.98526822662354,10.0407174186707,9.8797110748291,9.97363330459595,0.0237678179591894,0.138127996653318,0.164984129786491,0.185633338063955,0.185952384650707,0.226760321468115,0.180480955034494,0.259769845098257,0.0374412702918053,0.00404761910438538,0.00133333337306976,0.0000567404422909021,0,12
"Nick Stanbury",10,0,12,9.10140099143982,7.62629236412048,7.43394515895844,7.08157302761078,5.86474603462219,5.66488572025299,4.49595714569092,11.7321143035889,10.9908539886475,11.0451587409973,11.1017444152832,11.0383745765686,11.137820640564,0.0237678179591894,0.138127996653318,0.112196827203035,0.0767730175256729,0.203679369151592,0.345073023080826,0.261209527850151,0.106020636767149,0.0186666669249535,0.00340000009536743,0,0.0000567404422909021,0,12
"Dan Barry",11,0,12,6.67327342510223,5.41006364536285,5.8341572842598,5.41673809099197,5.21013649272919,7.23168730211258,12.1360745773315,11.4025999908447,11.7464714279175,11.7027063369751,11.6848460006714,11.79701902771,11.6903237915039,0.0572551906406879,0.0679405498504639,0.108744446694851,0.162217464208603,0.146023779835552,0.0693813714906573,0.0052568323649466,0.00228610893338919,0,0,0,0.0000567404422909021,0,12
"Bobby Mason",12,0,12,10.4886128463745,8.82901488399506,8.63065079021454,9.52864761352539,8.92818254089356,13.722660320282,13.1750831108093,12.9640190429688,12.9550555267334,12.9629793434143,12.8881809234619,12.9164634552002,12.921860294342,0.00318015415966511,0.0571587314903736,0.00118297872319818,0.00682961848005652,0.0108355635479093,0.0106210527047515,0.0030901656486094,0.00456388672441244,0,0,0,0.0000567404422909021,0,12
"Ruth-Marie Milliman",13,0,12,7.15697027683258,7.41542593955994,8.25431312561035,8.92779046440124,14.4639912185669,13.6627666778564,13.7693412704468,13.8176539764404,14.0229015693665,13.920861907959,13.9540730171204,13.9180270080566,13.9636650886536,0.0649666108191013,0.0536333789229393,0.0367253975570202,0.0626682552099228,0.0094682213626802,0.0120750208720565,0.0030901656486094,0.00456388672441244,0,0,0,0.0000567404422909021,0,12
"Misty Giles",14,0,12,6.31761276721954,5.88346263456345,6.43130158853531,14.9489841308594,14.7648829460144,14.7890825462341,14.8168471755981,14.8223294029236,14.6953317260742,14.6586110877991,14.6910598869324,14.7308237876892,14.7005519294739,0.158233185440302,0.159976914674044,0.0925829807855189,0.0110962851904333,0.00470223010331392,0.00196073510497808,0.00205683231726289,0.000597220025956631,0,0,0,0.0000567404422909021,0,12
"Melinda Hyder",15,0,12,7.71284814548492,8.29353349781036,15.742007900238,15.5426222229004,15.5955060768127,15.607325088501,15.5546952438354,15.6154853401184,15.5978079566956,15.6575031433105,15.62086668396,15.6100460395813,15.638623249054,0.00983673360943794,0.131038819283247,0.0368591698743403,0.0131169201992452,0.0017688967064023,0.00116073509305716,0.00045683229342103,0.000597220025956631,0,0,0,0.0000567404422909021,0,12
"Tina Scheer",16,0,12,6.31761276721954,17.1086466751099,16.9671750183105,17.0020828323364,16.9860324516296,16.9312494773865,16.9750846557617,16.9677964324951,16.9555793380737,16.9483624267578,16.9528424301147,16.965561882019,16.9608048858643,0.158233185440302,0.0216181409433484,0.00850996300950646,0.00866453912481666,0.00576889676600695,0.0024051795527339,0.00205683231726289,0.000597220025956631,0,0,0,0.0000567404422909021,0,12
"Yul Kwon",1,1,13,7.99518694210053,7.96427734375,7.16802855682373,6.4829682340622,5.64943017148972,6.52753332471848,6.95968570709229,5.40287777662277,4.29329840421677,3.22087142181396,3.21084285593033,2.38534603643417,2.18094603013992,0.0228709679469466,0.093184218287468,0.0665996840074658,0.0411736517772079,0.0661644457504153,0.034375525534153,0.0256358427107334,0.0617966723442078,0.0735825411975384,0.114933335214853,0.145631748378277,0.216660319328308,0.300919052183628,13
"Ozzy Lusth",2,0,13,6.30993458843231,8.58978599357605,7.6432222237587,7.79534126472473,6.23687777805328,4.54377301311493,6.08513809967041,4.71798569965363,3.97150635242462,3.23546348571777,2.88810318040848,2.35174444437027,2.2405857167244,0.0972921388745308,0.00747301608324051,0.0360015880465508,0.0698206364810467,0.0748857159018517,0.0940269860625267,0.151446033358574,0.208360320657492,0.262466670095921,0.262676194220781,0.332465083628893,0.449711114823818,0.469153971016407,13
"Becky Lee",3,0,13,8.33272211265564,7.18316593360901,7.42158281469345,7.61155237770081,5.97079681777954,5.96074285173416,6.14690476560593,5.60740476512909,5.53057619142532,5.6121015753746,4.46763809108734,3.92069364500046,4.08810634946823,0.0999593703895807,0.220990413695574,0.248341274470091,0.0712619061172008,0.175652384012938,0.251394938204437,0.103174605000764,0.108671995088458,0.0752140115611255,0.0101206351220608,0.0261857147216797,0.0651913961283863,0.12155238249898,13
